rowNo,subjectGroup,type,block,stim1,stimFormat,audio,random,presTime,ITI,responseType,responseOptions,head,button1,button2,button3,button4,button5,required,condition,animacy,image_shown,seperator,ITI_ms,ITI_f,ITI_fDuration,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,responseCode,id,age,sex,handedness,fps_start,fps_M,fps_SD
2,0,form,,,,,,,,dropdown,American Indian or Alaska Native;Asian;Black or African American;Native Hawaiian or Other Pacific Islander; White;More than one;Not Listed,With which race do you identify?,,,,,,1,,,,1,,,,,,,342620,Asian,5825,2,917404236,20,female,right-handed,60.24,59.29,2.24
3,0,form,,,,,,,,dropdown,yes;no,Do you identify as Hispanic,,,,,,1,,,,1,,,,,,,342620,no,5825,2,917404236,,,,,,
113,3,test,encoding,guitar_3,.png,snakeA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,guitar,,699,0,0,396,24,16.50,390715,2,2006,,917404236,,,,,,
107,3,test,encoding,pig_3,.png,noise5.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,pig,,701,42,16.64,405,25,16.20,394089,1,986,,917404236,,,,,,
93,3,test,encoding,piano_1,.png,noise14.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,piano,,700,42,16.69,401,24,16.71,397071,2,1149,,917404236,,,,,,
120,3,test,encoding,drill_1,.png,penguinA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,drill,,704,42,16.67,392,24,16.33,402158,2,2238,,917404236,,,,,,
123,3,test,encoding,bird_1,.png,birdA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,bird,,702,42,16.76,398,24,16.58,405143,1,910,,917404236,,,,,,
115,3,test,encoding,dog_2,.png,trainA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,dog,,701,42,16.71,397,24,16.54,408629,1,1207,,917404236,,,,,,
108,3,test,encoding,cow_2,.png,cowA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,cow,,701,40,17.52,407,25,16.28,412522,1,811,,917404236,,,,,,
118,3,test,encoding,deer_4,.png,washerA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,deer,,701,42,16.69,401,24,16.71,415295,1,1125,,917404236,,,,,,
100,3,test,encoding,cymbal_ride_2,.png,cymbal_rideA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,cymbal_ride,,699,39,17.97,403,24,16.79,418265,2,1344,,917404236,,,,,,
110,3,test,encoding,tiger_1,.png,noise2.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,tiger,,700,42,16.64,398,24,16.58,420976,1,983,,917404236,,,,,,
92,3,test,encoding,hammer_3,.png,ratA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,hammer,,701,42,16.67,399,24,16.63,427720,2,1174,,917404236,,,,,,
125,3,test,encoding,bell_5,.png,bellA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,bell,,701,42,16.69,393,24,16.38,430868,2,741,,917404236,,,,,,
104,3,test,encoding,frog_1,.png,smartphoneA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,frog,,700,42,16.69,400,24,16.67,434451,1,988,,917404236,,,,,,
126,3,test,encoding,keyboard_2,.png,tigerA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,keyboard,,701,40,17.50,400,24,16.67,441102,2,1271,,917404236,,,,,,
131,3,test,encoding,bear_1,.png,bearA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,bear,,700,42,16.69,400,24,16.67,444022,1,976,,917404236,,,,,,
116,3,test,encoding,penguin_1,.png,noise6.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,penguin,,701,42,16.67,400,24,16.67,450007,1,1014,,917404236,,,,,,
103,3,test,encoding,car_3,.png,carA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,car,,700,42,16.69,393,24,16.38,453255,2,1106,,917404236,,,,,,
121,3,test,encoding,stapler_1,.png,noise10.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,stapler,,701,42,16.67,400,24,16.67,458205,2,1475,,917404236,,,,,,
106,3,test,encoding,washer_2,.png,noise8.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,washer,,700,42,16.69,400,24,16.67,461688,2,1119,,917404236,,,,,,
127,3,test,encoding,camera_1,.png,cameraA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,camera,,704,42,16.67,400,24,16.67,464887,2,1101,,917404236,,,,,,
97,3,test,encoding,drum_2,.png,leopardA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,drum,,701,42,16.76,402,24,16.75,468693,2,1555,,917404236,,,,,,
132,3,test,encoding,cat_1,.png,catA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,cat,,700,42,16.69,393,24,16.38,474034,1,1103,,917404236,,,,,,
130,3,test,encoding,crocodile_2,.png,crocodileA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,crocodile,,701,42,16.67,398,24,16.58,478484,1,1138,,917404236,,,,,,
133,3,test,encoding,saw_1,.png,noise13.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,saw,,699,42,16.69,399,24,16.63,481948,2,1249,,917404236,,,,,,
128,3,test,encoding,leopard_1,.png,noise7.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,leopard,,704,42,16.64,400,24,16.67,485029,1,805,,917404236,,,,,,
111,3,test,encoding,door_1,.png,doorA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,door,,701,42,16.76,404,24,16.83,488964,2,1674,,917404236,,,,,,
124,3,test,encoding,elephant_1,.png,hammerA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,elephant,,700,39,17.97,400,24,16.67,493675,1,972,,917404236,,,,,,
99,3,test,encoding,train_1,.png,noise9.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,train,,700,42,16.67,400,24,16.67,497093,2,1311,,917404236,,,,,,
101,3,test,encoding,rat_1,.png,noise4.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,rat,,704,42,16.67,400,24,16.67,501857,1,913,,917404236,,,,,,
94,3,test,encoding,smartphone_2,.png,noise11.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,smartphone,,705,42,16.76,399,24,16.63,505431,2,1364,,917404236,,,,,,
95,3,test,encoding,motorcycle_1,.png,wolfA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,motorcycle,,700,42,16.79,400,24,16.67,509004,2,1429,,917404236,,,,,,
112,3,test,encoding,horse_1,.png,scissorsA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,horse,,699,42,16.67,400,24,16.67,513777,1,1176,,917404236,,,,,,
102,3,test,encoding,chicken_1,.png,chickenA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,chicken,,700,42,16.64,400,24,16.67,517175,1,1287,,917404236,,,,,,
119,3,test,encoding,bicycle_1,.png,bicycleA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,bicycle,,705,42,16.67,401,24,16.71,520851,2,1435,,917404236,,,,,,
109,3,test,encoding,jet_1,.png,elephantA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,inanimate,jet,,700,42,16.79,400,24,16.67,524811,2,1087,,917404236,,,,,,
122,3,test,encoding,goose_1,.png,staplerA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,goose,,700,42,16.67,403,24,16.79,528213,1,1254,,917404236,,,,,,
114,3,test,encoding,goat_3,.png,sawA.mp3,3,400,700,,,,animate image,inanimate image,,,,,incongruent,animate,goat,,701,42,16.67,400,24,16.67,532037,1,897,,917404236,,,,,,
129,3,test,encoding,boat_1,.png,boatA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,inanimate,boat,,705,42,16.69,392,24,16.33,535887,2,1932,,917404236,,,,,,
105,3,test,encoding,scissors_1,.png,noise12.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,inanimate,scissors,,700,42,16.79,401,24,16.71,540530,2,1780,,917404236,,,,,,
117,3,test,encoding,bat_1,.png,batA.mp3,3,400,700,,,,animate image,inanimate image,,,,,congruent,animate,bat,,701,42,16.67,399,24,16.63,544954,1,1134,,917404236,,,,,,
96,3,test,encoding,wolf_1,.png,noise1.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,wolf,,699,42,16.69,400,24,16.67,550510,2,1516,,917404236,,,,,,
98,3,test,encoding,snake_1,.png,noise3.mp3,3,400,700,,,,animate image,inanimate image,,,,,control,animate,snake,,700,42,16.64,400,24,16.67,555193,1,1394,,917404236,,,,,,
269,3,test,recognition,tiger_1,.png,,6,400,700,,,,same,different,nonsense,new,,,control,animate,tiger,,701,42,16.67,400,24,16.67,563596,1,4711,,917404236,,,,,,
257,3,test,recognition,saw_1,.png,,6,400,700,,,,same,different,nonsense,new,,,control,inanimate,saw,,700,42,16.69,400,24,16.67,566764,1,2476,,917404236,,,,,,
290,3,test,recognition,walkie_1,.png,,6,400,700,,,,same,different,nonsense,new,,,new,inanimate,walkie,,704,42,16.67,400,24,16.67,569342,4,1883,,917404236,,,,,,
299,3,test,recognition,bell_5,.png,,6,400,700,,,,same,different,nonsense,new,,,congruent,inanimate,bell,,699,42,16.76,401,24,16.71,571748,1,1707,,917404236,,,,,,
291,3,test,recognition,bus_2,.png,,6,400,700,,,,same,different,nonsense,new,,,new,inanimate,bus,,698,42,16.64,398,24,16.58,573990,4,1551,,917404236,,,,,,
283,3,test,recognition,deer_4,.png,,6,400,700,,,,same,different,nonsense,new,,,incongruent,animate,deer,,700,42,16.62,400,24,16.67,576281,1,1592,,917404236,,,,,,
275,3,test,recognition,elephant_1,.png,,6,400,700,,,,same,different,nonsense,new,,,incongruent,animate,elephant,,700,42,16.67,399,24,16.63,577920,1,948,,917404236,,,,,,
279,3,test,recognition,cymbal_ride_2,.png,,6,400,700,,,,same,different,nonsense,new,,,congruent,inanimate,cymbal_ride,,701,42,16.67,400,24,16.67,580695,1,2087,,917404236,,,,,,
266,3,test,recognition,cow_2,.png,,6,400,700,,,,same,different,nonsense,new,,,congruent,animate,cow,,701,42,16.69,400,24,16.67,582684,1,1292,,917404236,,,,,,
264,3,test,recognition,wrench_1,.png,,6,400,700,,,,same,different,nonsense,new,,,new,inanimate,wrench,,701,42,16.69,399,24,16.63,585740,4,2352,,917404236,,,,,,
271,3,test,recognition,snake_1,.png,,6,400,700,,,,same,different,nonsense,new,,,control,animate,snake,,701,42,16.69,399,24,16.63,590945,3,4507,,917404236,,,,,,
292,3,test,recognition,record_player_1,.png,,6,400,700,,,,same,different,nonsense,new,,,new,inanimate,record_player,,701,42,16.69,400,24,16.67,593874,4,2234,,917404236,,,,,,
276,3,test,recognition,coins_1,.png,,6,400,700,,,,same,different,nonsense,new,,,new,inanimate,coins,,700,42,16.69,399,24,16.63,595911,4,1336,,917404236,,,,,,
306,3,test,recognition,rabbit_2,.png,,6,400,700,,,,same,different,nonsense,new,,,new,animate,rabbit,,701,42,16.67,400,24,16.67,599887,4,3279,,917404236,,,,,,
293,3,test,recognition,chicken_1,.png,,6,400,700,,,,same,different,nonsense,new,,,congruent,animate,chicken,,700,42,16.69,400,24,16.67,601718,1,1139,,917404236,,,,,,
308,3,test,recognition,salamander_3,.png,,6,400,700,,,,same,different,nonsense,new,,,new,animate,salamander,,699,42,16.67,407,24,16.96,604889,4,2479,,917404236,,,,,,
259,3,test,recognition,goat_3,.png,,6,400,700,,,,same,different,nonsense,new,,,incongruent,animate,goat,,701,42,16.64,399,24,16.63,607126,1,1541,,917404236,,,,,,
